           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
May 03 03:13:50     69.2     1171761      190    77.8%    189.2     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:14:51     75.5     2558037      190    77.7%    189.3     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:15:53     77.2     3946647      189    77.6%    188.9     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:16:53     78.6     5329603      190    77.7%    189.2     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:17:58     79.6     6830478      190    77.7%    189.3     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:19:03     80.2     8333618      190    77.7%    189.2     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:20:03     80.6     9718356      190    77.7%    189.3     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:21:05     81.3    11201735      190    77.6%    189.3     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:22:07     81.8    12681860      190    77.7%    189.2     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:23:12     81.8    14162164      190    77.7%    189.2     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:24:12     81.8    15528515      189    77.6%    189.1     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:25:15     82.1    17006047      190    77.6%    189.1     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:26:16     82.5    18487637      189    77.6%    189.1     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:27:16     82.9    19969806      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:28:16     83.3    21451641      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:29:16     84.1    23046131      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:30:18     84.6    24637815      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:31:21     84.9    26234011      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:32:24     85.3    27825866      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:33:26     85.6    29421822      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:34:30     85.5    30900854      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:35:33     85.8    32493424      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:36:36     86.0    34088734      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:37:41     86.1    35681611      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.7%     0.0%
May 03 03:38:44     86.0    37163855      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:39:48     86.2    38758943      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:40:48     86.5    40355596      189    77.6%    189.0     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:41:48     86.6    41838144      189    77.6%    188.9     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:42:53     86.7    43433310      189    77.6%    188.9     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:43:59     86.7    45034033      189    77.6%    188.9     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:45:01     86.9    46640528      189    77.6%    188.8     0.3%     5.5%     0.1%     0.0%    16.8%     0.0%
May 03 03:46:05     87.0    48249676      189    77.6%    188.8     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:47:09     87.1    49860592      189    77.5%    188.7     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:48:13     87.2    51468967      189    77.5%    188.6     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:49:16     87.4    53078966      189    77.5%    188.6     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:50:17     87.4    54575919      189    77.5%    188.5     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:51:21     87.5    56183920      189    77.5%    188.5     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:52:23     87.6    57795291      189    77.5%    188.4     0.3%     5.6%     0.1%     0.0%    16.7%     0.0%
May 03 03:53:24     87.5    59175176      189    77.5%    188.4     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 03:54:24     87.2    60437901      189    77.5%    188.4     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 03:55:25     87.2    61932994      189    77.4%    188.3     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 03:56:25     87.3    63427576      189    77.4%    188.3     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 03:57:25     87.3    64920737      189    77.4%    188.2     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 03:58:29     87.4    66532528      188    77.4%    188.2     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 03:59:29     87.5    68029312      188    77.4%    188.2     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 04:00:33     87.7    69751584      188    77.4%    188.1     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 04:01:35     87.7    71247379      188    77.4%    188.1     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 04:02:37     87.8    72858721      188    77.4%    188.1     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 04:03:37     87.8    74351740      188    77.4%    188.1     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 04:04:40     87.9    75962104      188    77.4%    188.0     0.3%     5.7%     0.1%     0.0%    16.7%     0.0%
May 03 04:05:45     87.9    77572613      188    77.4%    188.0     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:06:50     88.0    79180897      188    77.4%    188.0     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:07:52     88.1    80792599      188    77.4%    188.0     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:08:55     88.0    82287081      188    77.3%    187.9     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:09:57     88.0    83781802      188    77.3%    187.9     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:10:58     88.0    85278711      188    77.3%    187.9     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:12:02     87.8    86660594      188    77.3%    187.9     0.3%     5.8%     0.1%     0.0%    16.7%     0.0%
May 03 04:13:06     87.6    88040937      188    77.3%    187.9     0.3%     5.8%     0.1%     0.0%    16.8%     0.0%
May 03 04:14:09     87.5    89423850      188    77.3%    187.8     0.3%     5.8%     0.1%     0.0%    16.8%     0.0%
May 03 04:15:12     87.4    90922174      188    77.3%    187.8     0.3%     5.8%     0.1%     0.0%    16.8%     0.0%
May 03 04:16:12     87.5    92415617      188    77.3%    187.8     0.3%     5.8%     0.1%     0.0%    16.8%     0.0%
May 03 04:17:15     87.6    94027460      188    77.3%    187.8     0.3%     5.8%     0.1%     0.0%    16.8%     0.0%
ALL DONE!
